"ID","Coefficient..as.reported.in.the.article.","Standard.error..as.reported.in.the.article.","t.value...z.value..as.reported.in.the.article.","Lower.derounding.bound.of.t.value..this.is.the.smallest.t.value.consistent.with.the.reported.statistical.values..rounded.to.6.decimal.places.","Upper.derounding.bound.of.t.value..this.is.the.largest.t.value.consistent.with.the.reported.statistical.values..rounded.to.6.decimal.places.","Type.of.test..as.reported.in.the.article.","p.value.interval.as.implied.by.reported.statistical.values...this.is.the.p.value.interval.corresponding.to.the.lower.and.upper.derounding.bound.of.the.t.value.and.the.type.of.test..using.the.standard.normal.distribution.and.rounded.to.6.decimal.places.","p.value.interval.as.reported.by.means.of.eye.catchers","Error.in.coefficient","Error.in.standard.error","Error.in.t.value...z.value","Error.in.p.value","Error.in.eye.catcher","There.is.no.reporting.error","I.don.t.know","Error.occurred.while.transferring.results.from.statistical.software.to.Word..Latex.etc.","Error.occurred.while.updating.tables.during.the.research...review.process","Error.occured.in.typesetting.by.the.publisher.and.remained.undetected.in.proofreading","Reporting.error.is.falsely.diagnosed.due.to.low.degrees.of.freedom.of.the.corresponding.test..algorithm.to.detect.reporting.errors.relies.on.critical.values.of.the.standard.normal.distribution.","I.don.t.know.1","Other.reason","error_id","paper_id","our_comment"
1,-0.055,0.027,NA,1.981818,2.09434,"two sided","0.036230 < p < 0.047500","0.05 < p < 0.1",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"2.0828n1_1_4_0.75_0.75","8n9.511",NA
2,0.056,0.019,NA,2.846154,3.054054,"two sided","0.002258 < p < 0.004425","0.1 < p < 1",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"2.9468n1_1_5_0.25_0.75","8n9.511",NA
3,1.077,0.635,NA,1.693942,1.698188,"two sided","0.089472 < p < 0.090276","0.1 < p < 1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.7948n1_1_5_0.25_2","8n9.511","low df"
4,-0.071,0.024,NA,2.877551,3.042553,"two sided","0.002346 < p < 0.004008","0.1 < p < 1",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"2.9788n1_1_5_2.5_0.75","8n9.511",NA
5,0.09,0.036,NA,2.452055,2.549296,"two sided","0.010794 < p < 0.014204","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"2.5528n1_1_5_3.25_1","8n9.511",NA
6,-0.071,0.024,NA,2.877551,3.042553,"two sided","0.002346 < p < 0.004008","0.1 < p < 1",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"2.9788n1_1_5_0.75_0.75","8n9.511",NA
7,0.09,0.036,NA,2.452055,2.549296,"two sided","0.010794 < p < 0.014204","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"2.5528n1_1_5_1_1","8n9.511",NA
8,0.056,0.019,NA,2.846154,3.054054,"two sided","0.002258 < p < 0.004425","0.1 < p < 1",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"2.9468n1_1_5_2_0.75","8n9.511",NA
9,1.077,0.635,NA,1.693942,1.698188,"two sided","0.089472 < p < 0.090276","0.1 < p < 1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.7948n1_1_5_2_2","8n9.511","low df"
10,0.133,0.058,NA,2.264957,2.321739,"two sided","0.020247 < p < 0.023515","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"2.3658n1_1_5_2.25_0.75","8n9.511",NA
11,0.767,0.423,NA,1.809917,1.816568,"two sided","0.069283 < p < 0.070309","0.01 < p < 0.05",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"1.918n1_1_9_0.25_0.5","8n9.511",NA
12,-10.577,6.44,NA,1.64104,1.643745,"two sided","0.100229 < p < 0.100789","0.05 < p < 0.1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.7418n1_1_9_0.25_1","8n9.511","implausible answer"
1,-0.2127,0.152,NA,1.394426,1.40429,"two sided","0.160232 < p < 0.163189","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"1.4947k1_0_1_0.5_0.25","7k1.4000000000000110",NA
2,-0.0067,0.0029,NA,2.254237,2.368421,"two sided","0.017864 < p < 0.024181","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"2.3547k1_0_2_0.75_0.5","7k1.4000000000000110",NA
3,-0.1103,0.0517,NA,2.130435,2.136496,"two sided","0.032639 < p < 0.033136","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"2.237k1_0_4_1.25_0.25","7k1.4000000000000110",NA
1,0.167,0.128,NA,1.29572,1.313725,"two sided","0.188939 < p < 0.195072","0.05 < p < 0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"1.39614u1_4_4_1.75_0.5","14u6.2119","misalignment"
2,0.126,0.086,NA,1.450867,1.479532,"two sided","0.138998 < p < 0.146817","0.01 < p < 0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"1.55114u1_4_4_1.75_1.75","14u6.2119","misalignment"
3,0.192,0.115,NA,1.658009,1.681223,"two sided","0.092720 < p < 0.097316","0.1 < p < 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"1.75814u1_4_4_2_0.75","14u6.2119","misalignment"
4,0.214,0.104,NA,2.043062,2.072464,"two sided","0.038222 < p < 0.041046","0.05 < p < 0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"2.14314u1_4_4_2_1","14u6.2119","misalignment"
