"ID","Year","Journal","Issue","First.article.page","First.author","Table","Row","Column","Coefficient..as.reported.in.the.article.","Standard.error..as.reported.in.the.article.","t.value...z.value..as.reported.in.the.article.","Lower.derounding.bound.of.t.value..this.is.the.smallest.t.value.consistent.with.the.reported.statistical.values..rounded.to.6.decimal.places.","Upper.derounding.bound.of.t.value..this.is.the.largest.t.value.consistent.with.the.reported.statistical.values..rounded.to.6.decimal.places.","Type.of.test..as.reported.in.the.article.","p.value.interval.as.implied.by.reported.statistical.values...this.is.the.p.value.interval.corresponding.to.the.lower.and.upper.derounding.bound.of.the.t.value.and.the.type.of.test..using.the.standard.normal.distribution.and.rounded.to.6.decimal.places.","p.value.interval.as.reported.by.means.of.eye.catchers","error_id"
3,2011,"Journal of Political Economy",119.5,821,"Aaronson","5",1,8,1.077,0.635,NA,1.693942,1.698188,"two sided","0.089472 < p < 0.090276","0.1 < p < 1","Aaronson_821_5_1_8"
9,2011,"Journal of Political Economy",119.5,821,"Aaronson","5",8,8,1.077,0.635,NA,1.693942,1.698188,"two sided","0.089472 < p < 0.090276","0.1 < p < 1","Aaronson_821_5_8_8"
1,2011,"American Economic Review",101.5,2003,"Ashraf","10",1,5,1.498,0.546,NA,2.740165,2.747021,"two sided","0.006014 < p < 0.006141","0.01 < p < 0.05","Ashraf_2003_10_1_5"
2,2011,"American Economic Review",101.5,2003,"Ashraf","10",1,6,1.478,0.556,NA,2.654987,2.661566,"two sided","0.007778 < p < 0.007931","0.01 < p < 0.05","Ashraf_2003_10_1_6"
3,2011,"American Economic Review",101.5,2003,"Ashraf","11",1,2,3.133,1.55,NA,2.014469,2.028155,"two sided","0.042544 < p < 0.043960","0.05 < p < 0.1","Ashraf_2003_11_1_2"
4,2011,"American Economic Review",101.5,2003,"Ashraf","5",2,6,0.681,0.255,NA,2.663405,2.6778,"two sided","0.007411 < p < 0.007735","0.01 < p < 0.05","Ashraf_2003_5_2_6"
5,2011,"American Economic Review",101.5,2003,"Ashraf","6",1,5,0.143,0.068,NA,2.080292,2.125926,"two sided","0.033509 < p < 0.037499","0.05 < p < 0.1","Ashraf_2003_6_1_5"
6,2011,"American Economic Review",101.5,2003,"Ashraf","6",2,2,-0.045,0.022,NA,1.977778,2.116279,"two sided","0.034321 < p < 0.047954","0.05 < p < 0.1","Ashraf_2003_6_2_2"
1,2008,"Journal of Political Economy",116.4,709,"Baker","4",11,3,0.484,0.194,NA,2.485861,2.503876,"two sided","0.012284 < p < 0.012924","0 < p < 0.01","Baker_709_4_11_3"
1,2011,"Journal of Political Economy",119.4,766,"Berman","3",10,5,0.543,0.208,NA,2.601918,2.619277,"two sided","0.008812 < p < 0.009270","0.01 < p < 0.05","Berman_766_3_10_5"
2,2011,"Journal of Political Economy",119.4,766,"Berman","3",12,6,-0.783,0.475,NA,1.645636,1.651212,"two sided","0.098695 < p < 0.099839","0.1 < p < 1","Berman_766_3_12_6"
