"ID","Year","Journal","Issue","First.article.page","First.author","Table","Row","Column","Coefficient..as.reported.in.the.article.","Standard.error..as.reported.in.the.article.","t.value...z.value..as.reported.in.the.article.","Lower.derounding.bound.of.t.value..this.is.the.smallest.t.value.consistent.with.the.reported.statistical.values..rounded.to.6.decimal.places.","Upper.derounding.bound.of.t.value..this.is.the.largest.t.value.consistent.with.the.reported.statistical.values..rounded.to.6.decimal.places.","Type.of.test..as.reported.in.the.article.","p.value.interval.as.implied.by.reported.statistical.values...this.is.the.p.value.interval.corresponding.to.the.lower.and.upper.derounding.bound.of.the.t.value.and.the.type.of.test..using.the.standard.normal.distribution.and.rounded.to.6.decimal.places.","p.value.interval.as.reported.by.means.of.eye.catchers","error_id"
1,2010,"American Economic Review",100.1,420,"Abbink","3_1",4,2,0.158,0.0885,NA,1.778656,1.791973,"two sided","0.073137 < p < 0.075296","0.1 < p < 1","Abbink_420_3_1_4_2"
2,2010,"American Economic Review",100.1,420,"Abbink","3_1",4,3,0.638,0.3021,NA,2.109879,2.113888,"two sided","0.034525 < p < 0.034869","0.05 < p < 0.1","Abbink_420_3_1_4_3"
3,2010,"American Economic Review",100.1,420,"Abbink","4",4,4,0.033,0.0142,NA,2.280702,2.367491,"two sided","0.017909 < p < 0.022566","0.05 < p < 0.1","Abbink_420_4_4_4"
4,2010,"American Economic Review",100.1,420,"Abbink","4",7,1,0.322,0.1051,NA,3.057537,3.069967,"two sided","0.002141 < p < 0.002232","0.01 < p < 0.05","Abbink_420_4_7_1"
1,2008,"American Economic Review",98.4,1397,"Aghion","2",1,2,0.064,0.024,NA,2.591837,2.744681,"two sided","0.006057 < p < 0.009547","0.01 < p < 0.05","Aghion_1397_2_1_2"
2,2010,"Quarterly Journal of Economics",125.3,1015,"Aghion","1_B",1,3,0.531,0.201,NA,2.632754,2.650873,"two sided","0.008028 < p < 0.008470","0.01 < p < 0.05","Aghion_1015_1_B_1_3"
3,2010,"Quarterly Journal of Economics",125.3,1015,"Aghion","7",1,2,0.073,0.036,NA,1.986301,2.070423,"two sided","0.038413 < p < 0.047000","0.05 < p < 0.1","Aghion_1015_7_1_2"
4,2010,"Quarterly Journal of Economics",125.3,1015,"Aghion","7",10,3,0.049,0.028,NA,1.701754,1.8,"two sided","0.071861 < p < 0.088801","0.1 < p < 1","Aghion_1015_7_10_3"
5,2010,"Quarterly Journal of Economics",125.3,1015,"Aghion","7",10,4,0.264,0.098,NA,2.675127,2.712821,"two sided","0.006671 < p < 0.007470","0.01 < p < 0.05","Aghion_1015_7_10_4"
6,2010,"Quarterly Journal of Economics",125.3,1015,"Aghion","7",11,4,0.244,0.088,NA,2.751412,2.794286,"two sided","0.005201 < p < 0.005934","0.01 < p < 0.05","Aghion_1015_7_11_4"
7,2010,"Quarterly Journal of Economics",125.3,1015,"Aghion","7",9,4,-0.008,0.141,NA,0.053004,0.060498,"two sided","0.951759 < p < 0.957729","0 < p < 0.01","Aghion_1015_7_9_4"
8,2005,"Quarterly Journal of Economics",120.1,173,"Aghion","1",2,9,NA,NA,1.66,1.655,1.665,"two sided","0.095913 < p < 0.097924","0.1 < p < 1","Aghion_173_1_2_9"
9,2005,"Quarterly Journal of Economics",120.1,173,"Aghion","4",2,1,NA,NA,1.66,1.655,1.665,"two sided","0.095913 < p < 0.097924","0.1 < p < 1","Aghion_173_4_2_1"
10,2005,"Quarterly Journal of Economics",120.1,173,"Aghion","6",2,12,NA,NA,-1.81,1.805,1.815,"two sided","0.069524 < p < 0.071075","0.1 < p < 1","Aghion_173_6_2_12"
1,2007,"American Economic Review",97.4,1507,"Alesina","10",2,4,-0.041,0.025,NA,1.588235,1.693878,"two sided","0.090289 < p < 0.112233","0.01 < p < 0.05","Alesina_1507_10_2_4"
2,2011,"American Economic Review",101.5,1872,"Alesina","10_3",2,1,-2.917,1.108,NA,2.631033,2.634312,"two sided","0.008431 < p < 0.008513","0.01 < p < 0.05","Alesina_1872_10_3_2_1"
3,2011,"American Economic Review",101.5,1872,"Alesina","10_4",1,1,-2.845,1.097,NA,2.5918,2.595075,"two sided","0.009457 < p < 0.009548","0.01 < p < 0.05","Alesina_1872_10_4_1_1"
4,2011,"American Economic Review",101.5,1872,"Alesina","7_E",1,2,-3.61,1.38,NA,2.602888,2.629091,"two sided","0.008561 < p < 0.009244","0.01 < p < 0.05","Alesina_1872_7_E_1_2"
5,2011,"American Economic Review",101.5,1872,"Alesina","8_3",2,4,-19.01,7.37,NA,2.576949,2.581806,"two sided","0.009828 < p < 0.009968","0.01 < p < 0.05","Alesina_1872_8_3_2_4"
6,2011,"American Economic Review",101.5,1872,"Alesina","9_1",1,3,-0.296,0.146,NA,2.017065,2.037801,"two sided","0.041570 < p < 0.043689","0.05 < p < 0.1","Alesina_1872_9_1_1_3"
7,2011,"American Economic Review",101.5,1872,"Alesina","9_1",1,6,-0.487,0.188,NA,2.580902,2.6,"two sided","0.009322 < p < 0.009854","0.01 < p < 0.05","Alesina_1872_9_1_1_6"
1,2010,"American Economic Review",100.5,2060,"Algan","10",1,1,22903.31,8709.25,NA,2.629766,2.62977,"two sided","0.008544 < p < 0.008544","0.01 < p < 0.05","Algan_2060_10_1_1"
2,2010,"American Economic Review",100.5,2060,"Algan","10",1,2,17286.24,6346.56,NA,2.723715,2.723721,"two sided","0.006455 < p < 0.006455","0.01 < p < 0.05","Algan_2060_10_1_2"
3,2010,"American Economic Review",100.5,2060,"Algan","11",1,5,31429.61,10778.15,NA,2.916047,2.91605,"two sided","0.003545 < p < 0.003545","0.05 < p < 0.1","Algan_2060_11_1_5"
4,2010,"American Economic Review",100.5,2060,"Algan","12",1,3,32265.39,8765.55,NA,3.680929,3.680934,"two sided","0.000232 < p < 0.000232","0.01 < p < 0.05","Algan_2060_12_1_3"
5,2010,"American Economic Review",100.5,2060,"Algan","14",1,3,26249.95,7060.58,NA,3.717814,3.717821,"two sided","0.000201 < p < 0.000201","0.01 < p < 0.05","Algan_2060_14_1_3"
6,2010,"American Economic Review",100.5,2060,"Algan","7",1,2,26124.64,9079.68,NA,2.877262,2.877267,"two sided","0.004011 < p < 0.004011","0.01 < p < 0.05","Algan_2060_7_1_2"
7,2010,"American Economic Review",100.5,2060,"Algan","9",1,2,15499.99,5085.94,NA,3.047612,3.04762,"two sided","0.002307 < p < 0.002307","0.01 < p < 0.05","Algan_2060_9_1_2"
1,2006,"Journal of Political Economy",114.4,672,"Almond","5",14,1,0.0461,0.224,NA,0.205122,0.206488,"two sided","0.836410 < p < 0.837476","0.01 < p < 0.05","Almond_672_5_14_1"
2,2006,"Journal of Political Economy",114.4,672,"Almond","5",5,1,-0.101,0.07,NA,1.425532,1.460432,"two sided","0.144171 < p < 0.154004","0 < p < 0.01","Almond_672_5_5_1"
3,2006,"Journal of Political Economy",114.4,672,"Almond","5",9,1,-0.165,0.0719,NA,2.28631,2.30341,"two sided","0.021256 < p < 0.022236","0 < p < 0.01","Almond_672_5_9_1"
4,2009,"Quarterly Journal of Economics",124.4,1729,"Almond","4_3",4,4,-6.185,2.968,NA,2.083375,2.084414,"two sided","0.037122 < p < 0.037217","0.05 < p < 0.1","Almond_1729_4_3_4_4"
5,2009,"Quarterly Journal of Economics",124.4,1729,"Almond","8",4,3,0.353,0.144,NA,2.439446,2.463415,"two sided","0.013762 < p < 0.014710","0 < p < 0.01","Almond_1729_8_4_3"
1,2008,"Journal of Political Economy",116.5,881,"Ambrus","4",2,1,4.698,2.411,NA,1.947958,1.949181,"two sided","0.051274 < p < 0.051420","0.1 < p < 1","Ambrus_881_4_2_1"
2,2008,"Journal of Political Economy",116.5,881,"Ambrus","4",2,3,4.157,2.355,NA,1.764594,1.765768,"two sided","0.077435 < p < 0.077632","0.1 < p < 1","Ambrus_881_4_2_3"
3,2008,"Journal of Political Economy",116.5,881,"Ambrus","4",3,2,-0.387,0.201,NA,1.918114,1.932668,"two sided","0.053277 < p < 0.055097","0.1 < p < 1","Ambrus_881_4_3_2"
4,2008,"Journal of Political Economy",116.5,881,"Ambrus","4",3,3,-0.303,0.16,NA,1.884735,1.902821,"two sided","0.057064 < p < 0.059466","0.01 < p < 0.05","Ambrus_881_4_3_3"
5,2010,"Quarterly Journal of Economics",125.3,1349,"Ambrus","2",2,4,-100898.032,37267.146,NA,2.707426,2.707426,"two sided","0.006781 < p < 0.006781","0.01 < p < 0.05","Ambrus_1349_2_2_4"
6,2010,"Quarterly Journal of Economics",125.3,1349,"Ambrus","2",2,5,-0.168,0.083,NA,2.005988,2.042424,"two sided","0.041109 < p < 0.044858","0.05 < p < 0.1","Ambrus_1349_2_2_5"
7,2010,"Quarterly Journal of Economics",125.3,1349,"Ambrus","2",2,6,-27795.61,9925.36,NA,2.800463,2.800464,"two sided","0.005103 < p < 0.005103","0.01 < p < 0.05","Ambrus_1349_2_2_6"
8,2010,"Quarterly Journal of Economics",125.3,1349,"Ambrus","2",5,6,-22906.98,8224.494,NA,2.785214,2.785215,"two sided","0.005349 < p < 0.005349","0.01 < p < 0.05","Ambrus_1349_2_5_6"
9,2010,"Quarterly Journal of Economics",125.3,1349,"Ambrus","2",6,6,29244.494,10210.65,NA,2.864117,2.864117,"two sided","0.004182 < p < 0.004182","0.01 < p < 0.05","Ambrus_1349_2_6_6"
10,2010,"Quarterly Journal of Economics",125.3,1349,"Ambrus","2",7,6,4930.57,2510.014,NA,1.964357,1.964362,"two sided","0.049488 < p < 0.049489","0.05 < p < 0.1","Ambrus_1349_2_7_6"
11,2010,"Quarterly Journal of Economics",125.3,1349,"Ambrus","2",9,4,-89252.901,54203.525,NA,1.646625,1.646625,"two sided","0.099635 < p < 0.099635","0.1 < p < 1","Ambrus_1349_2_9_4"
12,2010,"Quarterly Journal of Economics",125.3,1349,"Ambrus","2",9,6,-27738.54,10648.248,NA,2.604986,2.604987,"two sided","0.009188 < p < 0.009188","0.01 < p < 0.05","Ambrus_1349_2_9_6"
1,2011,"American Economic Review",101.4,1629,"Amin","1",4,7,0.036,0.021,NA,1.651163,1.780488,"two sided","0.074996 < p < 0.098705","0.1 < p < 1","Amin_1629_1_4_7"
2,2011,"American Economic Review",101.4,1629,"Amin","1",5,7,0.035,0.019,NA,1.769231,1.918919,"two sided","0.054995 < p < 0.076855","0.1 < p < 1","Amin_1629_1_5_7"
3,2011,"American Economic Review",101.4,1629,"Amin","A_1",4,3,0.036,0.021,NA,1.651163,1.780488,"two sided","0.074996 < p < 0.098705","0.1 < p < 1","Amin_1629_A_1_4_3"
4,2011,"American Economic Review",101.4,1629,"Amin","A_1",5,3,0.035,0.019,NA,1.769231,1.918919,"two sided","0.054995 < p < 0.076855","0.1 < p < 1","Amin_1629_A_1_5_3"
1,2011,"Quarterly Journal of Economics",126.4,1841,"Amiti","2",2,4,0.155,0.062,NA,2.472,2.528455,"two sided","0.011457 < p < 0.013436","0 < p < 0.01","Amiti_1841_2_2_4"
