;;;;;;;;;;;;"reported significance as indicated by eye-catcher (""stars""): 1 means p-value smaller than 0.01, 5 means p-value smaller than 0.05 and so on. If no significance reported, type in 0. Use German decimal seperator, i.e. "","" instead of "".""";"significance thresholds in the paper by which results are distinguished; e.g. if there are three thresholds <0.01, <0.05, <0.1, then S(10), S(5) and S(1) should contain 1 and S(0.1) and S(15) should contain zero";;;;;coder: HK for Henning Kosmalla and PP for Peter Pütz;cross-checked: yes (1) or no(0);;;
year;journal_id;issue;article_page;first_author;table_panel;row;column;coefficient;standard_deviation;t_stat;p_value;rep_sign;S(15);S(10);S(5);S(1);S(0.1);coder;cross_checked;sample_size;coding error;
2011;Journal of Political Economy;119.5;821;Aaronson;4;3;3;-0.055;0.027;;;10;0;1;1;1;0;PP;1;3340;;
2005;American Economic Review;95.1;66;Abiad;7;1;2;;;4.81;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;7;1;3;;;4.25;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;7;1;4;;;4.18;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;7;1;5;;;4.61;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;7;1;6;;;3.99;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;7;2;1;;;3.39;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;7;2;2;;;3.01;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;7;2;3;;;3.16;;1;0;1;1;1;0;PP;;;;
2011;Journal of Political Economy;119.5;821;Aaronson;5;1;3;0.056;0.019;;;0;0;1;1;1;0;PP;1;980020;;
2005;American Economic Review;95.1;66;Abiad;7;2;5;;;2.32;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;7;2;6;;;2.8;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;8;1;1;;;4.27;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;8;1;2;;;4.43;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;8;1;3;;;4;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;8;1;4;;;4.21;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;8;2;1;;;4.11;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;8;2;2;;;4.41;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;8;2;3;;;3.28;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;8;2;4;;;3.7;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;8;3;2;;;2.41;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;8;3;4;;;2.4;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;8;4;1;;;2.1;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;8;4;2;;;1.17;;0;0;1;1;1;0;PP;;;;
